This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"247247","RUDYARD 19 S",-110.6019,48.2783,877,"COOP"
"130149","ALLERTON",-93.3633,40.7036,332,"COOP"
"213965","HUTCHINSON 1",-94.3872,44.8883,320,"COOP"
"KTEW","MASON",-84.4233,42.5658,280,"ASOS"
"KGRK","FORT HOOD/GR",-97.8300,31.0700,309,"ASOS"
"KPIB","PINE BELT RG",-89.3300,31.4700,91,"ASOS"
"KDRM","DRUMMOND ISL",-83.7439,46.0094,204,"ASOS"
"KMBG","MOBRIDGE",-100.4086,45.5500,522,"ASOS"
"050109","AKRON 4 E",-103.1417,40.1550,1384,"COOP"
"KW99","GRANT_COUNTY",-79.1300,38.9800,293,"ASOS"
"KMDH","CARBONDALE/M",-89.2450,37.7831,125,"ASOS"
"KMZH","MOOSE_LAKE",-92.8000,46.4200,328,"ASOS"
"06N03S","CHAMITA",-106.6567,36.9561,2560,"SNOTEL"
"080992","BRIGHTON RES",-81.0694,27.0436,6,"COOP"
"19E07S","STARR RIDGE",-119.0211,44.2650,1615,"SNOTEL"
"KPMV","PLATTSMOUTH",-95.9178,40.9503,366,"ASOS"
"KARR","AURORA MUNIC",-88.4814,41.7700,215,"ASOS"
"12C13S","FROHNER MEAD",-112.1928,46.4356,1975,"SNOTEL"
"397326","ROY LAKE",-97.4625,45.7014,548,"COOP"
"047669","SALINAS AP",-121.6081,36.6636,23,"COOP"
"22F14S","SUMMIT LAKE",-122.1381,43.4489,1707,"SNOTEL"
"K04W","FIELD OF DRE",-92.8953,46.0228,311,"ASOS"
"K0A9","ELIZABETHTON",-82.1733,36.3711,486,"ASOS"
"K0F2","BOWIE MUNICI",-97.7756,33.6017,336,"ASOS"
"K0R3","ABBEVILLE CH",-92.0842,29.9758,5,"ASOS"
"K0VG","LEE COUNTY A",-83.2178,36.6542,430,"ASOS"
"K14Y","TODD FIELD A",-94.8739,45.8983,406,"ASOS"
"K1A5","MACON COUNTY",-83.4192,35.2225,616,"ASOS"
"K1A6","MIDDLESBORO-",-83.7375,36.6106,352,"ASOS"
"K1F0","ARDMORE DOWN",-97.1225,34.1469,257,"ASOS"
"K1H2","EFFINGHAM",-88.5333,39.0706,179,"ASOS"
"K1P1","PLYMOUTH MUN",-71.7536,43.7792,154,"ASOS"
"K1V4","ST. JOHNSBUR",-72.0194,44.4194,212,"ASOS"
"K21D","LAKE ELMO AI",-92.8556,44.9975,284,"ASOS"
"K29G","PORTAGE COUN",-81.2517,41.2103,365,"ASOS"
"K2C8","CAVALIER MUN",-97.6319,48.7836,272,"ASOS"
"K2G4","GARRETT COUN",-79.3394,39.5803,894,"ASOS"
"K2W6","ST. MARY'S C",-76.5500,38.3153,43,"ASOS"
"K2WX","BUFFALO (AMO",-103.5464,45.6044,915,"ASOS"
"K3A1","FOLSOM FIELD",-86.8583,34.2689,294,"ASOS"
"K3J7","GREENE COUNT",-83.1389,33.5978,206,"ASOS"
"K3T5","LA GRANGE/FA",-96.9500,29.9081,99,"ASOS"
"K40B","CLAYTON LAKE",-69.5300,46.6200,314,"ASOS"
"K40J","PERRY-FOLEY",-83.5736,30.0719,13,"ASOS"
"K47A","CHEROKEE COU",-84.4239,34.3106,372,"ASOS"
"K4A6","SCOTTSBORO M",-86.0058,34.6886,198,"ASOS"
"K4A9","ISBELL FIELD",-85.7214,34.4736,267,"ASOS"
"K4I3","KNOX COUNTY",-82.5261,40.3289,363,"ASOS"
"K4M9","CORNING MUNI",-90.6481,36.4042,89,"ASOS"
"K4R4","H L SONNY CA",-87.8769,30.4606,28,"ASOS"
"K6R3","CLEVELAND MU",-95.0081,30.3564,46,"ASOS"
"K6R6","DRYDEN",-102.2131,30.0481,707,"ASOS"
"K79J","ANDALUSIA/OP",-86.3833,31.3000,94,"ASOS"
"K8A0","ALBERTVILLE",-86.2558,34.2292,315,"ASOS"
"K9A1","COVINGTON MU",-83.8475,33.6322,247,"ASOS"
"K9D7","CANDO MUNICI",-99.2364,48.4800,451,"ASOS"
"K9V9","CHAMBERLAIN",-99.3183,43.7667,516,"ASOS"
"KAAA","LINCOLN/LOGA",-89.3350,40.1586,182,"ASOS"
"KAAF","APALACHICOLA",-85.0247,29.7269,6,"ASOS"
"KAAO","COLONEL JAME",-97.2189,37.7497,432,"ASOS"
"KAAT","ALTURAS (WAS",-120.5644,41.4914,1333,"ASOS"
"KABI","ABILENE MUNI",-99.6817,32.4103,545,"ASOS"
"KABQ","ALBUQUERQUE",-106.6147,35.0417,1631,"ASOS"
"KABR","ABERDEEN REG",-98.4131,45.4433,396,"ASOS"
"KABY","ALBANY MUNIC",-84.1944,31.5356,60,"ASOS"
"KACB","BELLAIRE",-85.1983,44.9883,190,"ASOS"
"KACK","NANTUCKET ME",-70.0597,41.2539,14,"ASOS"
"KACQ","WASECA MUNI",-93.5531,44.0733,343,"ASOS"
"KACT","WACO-MADISON",-97.2278,31.6172,157,"ASOS"
"KACV","ARCATA/EUREK",-124.1086,40.9781,66,"ASOS"
"KACY","ATLANTIC CIT",-74.5867,39.4647,23,"ASOS"
"KADC","WADENA_MUNIC",-95.2117,46.4467,418,"ASOS"
"KADG","LENAWEE COUN",-84.0794,41.8678,244,"ASOS"
"KADH","ADA_MUNICIPA",-96.6714,34.8044,310,"ASOS"
"KADS","DALLAS/ADDIS",-96.8300,32.9700,196,"ASOS"
"KADW","ANDREWS AFB",-76.8700,38.8200,86,"ASOS"
"KAEG","ALBUQUERQUE/",-106.7950,35.1450,1779,"ASOS"
"KAEJ","CENTRAL COLO",-106.1206,38.8142,2422,"ASOS"
"KAEL","ALBERT LEA (",-93.3700,43.6800,383,"ASOS"
"KAEX","ALEXANDRIA I",-92.5586,31.3347,27,"ASOS"
"KAFJ","WASHINGTON (",-80.2800,40.1300,361,"ASOS"
"KAFK","NEBRASKA CIT",-95.8658,40.6069,354,"ASOS"
"KAFN","JAFFREY MUNI",-72.0006,42.8058,317,"ASOS"
"KAFP","ANSON COUNTY",-80.0772,35.0206,91,"ASOS"
"KAFW","FORT WORTH/A",-97.3181,32.9733,220,"ASOS"
"KAGC","PITTSBURGH/A",-79.9217,40.3547,382,"ASOS"
"KAGS","AUGUSTA/BUSH",-81.9633,33.3644,44,"ASOS"
"KAHN","ATHENS MUNIC",-83.3281,33.9508,246,"ASOS"
"KAIA","ALLIANCE MUN",-102.8000,42.0572,1197,"ASOS"
"KAIG","ANTIGO",-89.1400,45.0300,464,"ASOS"
"KAIK","AIKEN MUNICI",-81.6850,33.6494,161,"ASOS"
"KAIT","AITKIN NDB(A",-93.6800,46.5500,367,"ASOS"
"KAIZ","KAISER MEM (",-92.5500,38.1000,265,"ASOS"
"KAJG","MOUNT CARMEL",-87.7267,38.6067,131,"ASOS"
"KAJO","CORONA MUNIC",-117.6025,33.8978,162,"ASOS"
"KAKH","GASTONIA",-81.1558,35.1967,243,"ASOS"
"KAKO","AKRON/WASHIN",-103.2144,40.1744,1431,"ASOS"
"KAKQ","WAKEFIELD (N",-77.0011,36.9814,34,"ASOS"
"KAKR","AKRON FULTON",-81.4642,41.0375,325,"ASOS"
"KALB","ALBANY COUNT",-73.7989,42.7467,86,"ASOS"
"KALI","ALICE INTL A",-98.0269,27.7411,54,"ASOS"
"KALK","PIONEER AIRF",-110.4333,31.6000,1453,"ASOS"
"KALM","ALAMOGORDO-W",-105.9800,32.8300,1279,"ASOS"
"KALN","ALTON/ST LOU",-90.0500,38.9000,166,"ASOS"
"KALO","WATERLOO MUN",-92.4011,42.5544,266,"ASOS"
"KALS","ALAMOSA MUNI",-105.8614,37.4389,2297,"ASOS"
"KALW","WALLA WALLA",-118.2842,46.0950,367,"ASOS"
"KALX","THOMAS C RUS",-85.9631,32.9147,209,"ASOS"
"KAMA","AMARILLO ARP",-101.7172,35.2200,1099,"ASOS"
"KAMG","ALMA/BACON C",-82.5067,31.5361,61,"ASOS"
"KAMN","ALMA",-84.6878,43.3219,229,"ASOS"
"KAMW","AMES MUNICIP",-93.6189,41.9906,288,"ASOS"
"KANB","ANNISTON/CAL",-85.8475,33.5906,186,"ASOS"
"KAND","ANDERSON CO",-82.7097,34.4978,238,"ASOS"
"KANE","MINNEAPOLIS/",-93.2200,45.1500,278,"ASOS"
"KANJ","SAULT STE MA",-84.3572,46.4794,210,"ASOS"
"KANK","HARRIET ALEX",-106.0486,38.5383,2293,"ASOS"
"KANW","AINSWORTH MU",-100.0000,42.5800,789,"ASOS"
"KAOH","LIMA",-84.0214,40.7081,297,"ASOS"
"KAOO","ALTOONA/BLAI",-78.3169,40.3000,458,"ASOS"
"KAPA","DENVER/CENTE",-104.8483,39.5639,1793,"ASOS"
"KAPC","NAPA CO. AIR",-122.2794,38.2075,10,"ASOS"
"KAPF","NAPLES MUNIC",-81.7700,26.1500,3,"ASOS"
"KAPN","ALPENA CO. R",-83.5644,45.0717,210,"ASOS"
"KAPY","ZAPATA COUNT",-99.2489,26.9689,129,"ASOS"
"KAQO","LLANO MUNICI",-98.6619,30.7836,336,"ASOS"
"KAQP","APPLETON MUN",-96.0042,45.2275,310,"ASOS"
"KAQR","ATOKA MUNI A",-96.1481,34.3983,180,"ASOS"
"KAQV","PEASON RIDG/",-93.4500,31.6667,111,"ASOS"
"KAQW","NORTH ADAMS",-73.1703,42.6972,199,"ASOS"
"KARA","NEW IBERIA/A",-91.8844,30.0289,7,"ASOS"
"KARB","ANN ARBOR MU",-83.7400,42.2239,255,"ASOS"
"KARG","WALNUT RIDGE",-90.9200,36.1300,83,"ASOS"
"KARM","WHARTON REGI",-96.1544,29.2542,30,"ASOS"
"KART","WATERTOWN IN",-76.0217,43.9919,99,"ASOS"
"KARV","MINOCQUA/WOO",-89.7300,45.9300,496,"ASOS"
"KARW","BEAUFORT COU",-80.6344,32.4122,3,"ASOS"
"KASD","SLIDELL",-89.8208,30.3450,9,"ASOS"
"KASE","ASPEN/SARDY",-106.8694,39.2289,2382,"ASOS"
"KASH","NASHUA/BOIRE",-71.5200,42.7800,61,"ASOS"
"KASJ","AHOSKIE/TRI-",-77.1708,36.2975,21,"ASOS"
"KAST","ASTORIA/CLAT",-123.8825,46.1569,3,"ASOS"
"KASW","WARSAW MUNIC",-85.8400,41.2747,259,"ASOS"
"KASX","ASHLAND/KENN",-90.9183,46.5497,251,"ASOS"
"KATL","ATLANTA INTL",-84.4422,33.6297,312,"ASOS"
"KATS","ARTESIA",-104.4675,32.8525,1079,"ASOS"
"KATT","AUSTIN CITY",-97.7000,30.3000,189,"ASOS"
"KATW","APPLETON/OUT",-88.5200,44.2500,280,"ASOS"
"KATY","WATERTOWN MU",-97.1494,44.9047,532,"ASOS"
"KAUG","AUGUSTA STAT",-69.7972,44.3206,107,"ASOS"
"KAUH","AURORA",-97.9944,40.8939,550,"ASOS"
"KAUM","AUSTIN MUNI",-92.9300,43.6700,375,"ASOS"
"KAUN","AUBURN, AUBU",-121.0667,38.9500,467,"ASOS"
"KAUO","AUBURN-OPELI",-85.4300,32.6200,236,"ASOS"
"KAUS","AUSTIN-BERGS",-97.6700,30.1944,165,"ASOS"
"KAUW","WAUSAU MUNIC",-89.6267,44.9286,366,"ASOS"
"KAVC","SOUTH HILL/M",-78.0542,36.6886,135,"ASOS"
"KAVK","ALVA RGNL AI",-98.6700,36.7731,449,"ASOS"
"KAVL","ASHEVILLE MU",-82.5375,35.4319,660,"ASOS"
"KAVP","WILKES-BARRE",-75.7267,41.3389,293,"ASOS"
"KAVX","AVALON/CATAL",-118.4158,33.4050,488,"ASOS"
"KAWM","WEST MEMPHIS",-90.2333,35.1333,65,"ASOS"
"KAWO","ARLINGTON MU",-122.1700,48.1700,42,"ASOS"
"KAXH","HOUSTON SOUT",-95.4769,29.5061,21,"ASOS"
"KAXN","ALEXANDRIA/C",-95.3942,45.8686,434,"ASOS"
"KAXS","ALTUS/QUARTZ",-99.3381,34.6989,437,"ASOS"
"KAXX","ANGEL FIRE A",-105.2900,36.4219,2554,"ASOS"
"KAYS","WAYCROSS/WAR",-82.4000,31.2500,46,"ASOS"
"KAZO","KALAMAZOO IN",-85.5464,42.2292,266,"ASOS"
"KBAB","BEALE AFB/MA",-121.4300,39.1300,34,"ASOS"
"KBAC","BARNES COUNT",-98.0181,46.9411,427,"ASOS"
"KBAD","BARKSDALE AF",-93.6700,32.5000,51,"ASOS"
"KBAF","WESTFIELD/BA",-72.7128,42.1597,82,"ASOS"
"KBAN","USMC MTN WAR",-119.5169,38.3500,2067,"ASOS"
"KBAX","BAD AXE",-82.9856,43.7808,233,"ASOS"
"KBAZ","NEW BRAUNFEL",-98.0453,29.7086,197,"ASOS"
"KBBB","BENSON MUNI",-95.6500,45.3200,317,"ASOS"
"KBBD","CURTIS FIELD",-99.3239,31.1792,557,"ASOS"
"KBBG","BRANSON AIRP",-93.2006,36.5319,397,"ASOS"
"KBBP","MARLBORO COU",-79.7344,34.6217,45,"ASOS"
"KBBW","BROKEN BOW M",-99.6500,41.4300,776,"ASOS"
"KBCB","VIRGINIA TEC",-80.4200,37.2200,650,"ASOS"
"KBCE","BRYCE CANYON",-112.1456,37.7064,2312,"ASOS"
"KBCK","BLACK RIVER",-90.8553,44.2508,255,"ASOS"
"KBDE","BAUDETTE INT",-94.6122,48.7267,330,"ASOS"
"KBDH","WILLMAR MUNI",-95.1306,45.1178,247,"ASOS"
"KBDL","HARTFORD/BRA",-72.6825,41.9381,53,"ASOS"
"KBDN","BEND MUNICIP",-121.2003,44.0944,1055,"ASOS"
"KBDR","BRIDGEPORT/S",-73.1289,41.1583,3,"ASOS"
"KBEA","BEEVILLE MUN",-97.7911,28.3619,82,"ASOS"
"KBED","HANSCOM FLD/",-71.2944,42.4683,40,"ASOS"
"KBEH","BENTON HARBO",-86.4283,42.1286,196,"ASOS"
"KBFD","BRADFORD REG",-78.6358,41.7986,653,"ASOS"
"KBFF","SCOTTSBLUFF/",-103.5858,41.8669,1208,"ASOS"
"KBFI","SEATTLE/BOEI",-122.3136,47.5458,5,"ASOS"
"KBFL","BAKERSFIELD/",-119.0567,35.4336,155,"ASOS"
"KBFM","MOBILE DOWNT",-88.0633,30.6139,7,"ASOS"
"KBFW","SILVER BAY",-91.4000,47.2000,331,"ASOS"
"KBGD","BORGER/HUTCH",-101.3950,35.6950,931,"ASOS"
"KBGE","BAINBRIDGE/D",-84.6400,30.9700,43,"ASOS"
"KBGM","BINGHAMTON/B",-75.9814,42.2078,496,"ASOS"
"KBGR","BANGOR INTL",-68.8186,44.7972,58,"ASOS"
"KBHB","BAR HARBOR (",-68.3700,44.4500,26,"ASOS"
"KBHK","BAKER",-104.2575,46.3478,905,"ASOS"
"KBHM","BIRMINGHAM M",-86.7450,33.5656,196,"ASOS"
"KBID","BLOCK ISLAND",-71.5800,41.1700,33,"ASOS"
"KBIE","BEATRICE MUN",-96.7500,40.3000,403,"ASOS"
"KBIH","BISHOP AIRPO",-118.3581,37.3711,1256,"ASOS"
"KBIL","BILLINGS/LOG",-108.5422,45.8069,1112,"ASOS"
"KBIS","BISMARCK MUN",-100.7572,46.7825,511,"ASOS"
"KBIV","TULIP CITY A",-86.0967,42.7461,209,"ASOS"
"KBIX","KEESLER AFB/",-88.9200,30.4200,10,"ASOS"
"KBJC","BROOMFIELD/J",-105.1200,39.9200,1724,"ASOS"
"KBJI","BEMIDJI MUNI",-94.9300,47.5000,420,"ASOS"
"KBJJ","WOOSTER/WAYN",-81.8867,40.8731,346,"ASOS"
"KBKB","FULLERTON/PO",-92.9667,31.0000,94,"ASOS"
"KBKD","STEPHENS COU",-98.8911,32.7192,391,"ASOS"
"KBKE","BAKER MUNICI",-117.8092,44.8372,1028,"ASOS"
"KBKF","BUCKLEY ANGB",-104.7581,39.7100,1726,"ASOS"
"KBKL","CLEVELAND/BU",-81.6689,41.5256,178,"ASOS"
"KBKN","BLACKWELL-TO",-97.3497,36.7450,314,"ASOS"
"KBKS","FALFURRIAS,",-98.1211,27.2067,34,"ASOS"
"KBKV","BROOKSVILLE",-82.4544,28.4736,23,"ASOS"
"KBKW","BECKLEY MEMO",-81.1247,37.7950,763,"ASOS"
"KBKX","BROOKINGS (A",-96.8200,44.3000,502,"ASOS"
"KBLF","BLUEFIELD/ME",-81.2078,37.2958,871,"ASOS"
"KBLH","BLYTHE AIRPO",-114.7169,33.6192,121,"ASOS"
"KBLI","BELLINGHAM I",-122.5392,48.7994,48,"ASOS"
"KBLM","BELMAR-FARMD",-74.1300,40.1800,48,"ASOS"
"KBLU","BLUE CANYON",-120.7081,39.2761,1610,"ASOS"
"KBLV","SCOTT AFB/BE",-89.8500,38.5500,138,"ASOS"
"KBMG","BLOOMINGTON/",-86.6167,39.1431,257,"ASOS"
"KBMI","BLOOMINGTON/",-88.9200,40.4800,267,"ASOS"
"KBML","BERLIN MUNIC",-71.1786,44.5761,353,"ASOS"
"KBMQ","BURNET MUNIC",-98.2353,30.7406,392,"ASOS"
"KBNA","NASHVILLE ME",-86.6892,36.1189,182,"ASOS"
"KBNL","BARNWELL REG",-81.3883,33.2578,75,"ASOS"
"KBNO","BURNS MUNI (",-118.9564,43.5950,1263,"ASOS"
"KBOI","BOISE MUNICI",-116.2406,43.5667,871,"ASOS"
"KBOK","BROOKINGS AI",-124.2900,42.0744,140,"ASOS"
"KBOS","BOSTON/LOGAN",-71.0106,42.3606,6,"ASOS"
"KBOW","BARTOW MUNIC",-81.7800,27.9500,39,"ASOS"
"KBPG","BIG SPRING,",-101.5167,32.2000,784,"ASOS"
"KBPI","BIG PINEY (A",-110.1031,42.5789,2126,"ASOS"
"KBPK","MOUNTAIN HOM",-92.4719,36.3706,282,"ASOS"
"KBPT","BEAUMONT/POR",-94.0208,29.9508,5,"ASOS"
"KBQP","MOREHOUSE ME",-91.8806,32.7561,51,"ASOS"
"KBRD","BRAINERD/WIE",-94.1308,46.4047,373,"ASOS"
"KBRL","BURLINGTON M",-91.1253,40.7728,212,"ASOS"
"KBRO","BROWNSVILLE",-97.4231,25.9142,7,"ASOS"
"KBTA","BLAIR MUNICI",-96.1136,41.4181,404,"ASOS"
"KBTL","BATTLE CREEK",-85.2408,42.3125,290,"ASOS"
"KBTM","BUTTE/BERT M",-112.4975,45.9547,1690,"ASOS"
"KBTP","BUTLER CO. (",-79.9500,40.7800,380,"ASOS"
"KBTR","BATON ROUGE/",-91.1469,30.5372,21,"ASOS"
"KBTV","BURLINGTON I",-73.1503,44.4681,101,"ASOS"
"KBUF","BUFFALO INTL",-78.7358,42.9408,220,"ASOS"
"KBUR","BURBANK/GLEN",-118.3647,34.1997,236,"ASOS"
"KBUY","BURLINGTON",-79.4739,36.0478,188,"ASOS"
"KBVE","BOOTHVILLE",-89.4000,29.3300,0,"ASOS"
"KBVN","ALBION MUNIC",-98.0558,41.7286,550,"ASOS"
"KBVO","BARTLESVILLE",-96.0261,36.7683,217,"ASOS"
"KBVS","SKAGIT REGIO",-122.4208,48.4708,44,"ASOS"
"KBVU","BOULDER CITY",-114.8611,35.9475,671,"ASOS"
"KBVX","BATESVILLE (",-91.6500,35.7300,141,"ASOS"
"KBVY","BEVERLY MUNI",-70.9164,42.5836,33,"ASOS"
"KBWD","BROWNWOOD MU",-98.9500,31.8000,422,"ASOS"
"KBWG","BOWLING GREE",-86.4239,37.9642,166,"ASOS"
"KBWI","BALTIMORE/WA",-76.6833,39.1667,44,"ASOS"
"KBWP","HARRY STERN",-96.6072,46.2442,295,"ASOS"
"KBXK","BUCKEYE MUNI",-112.6861,33.4206,315,"ASOS"
"KBYG","BUFFALO/JOHN",-106.7189,44.3814,1514,"ASOS"
"KBYI","BURLEY MUNIC",-113.7714,42.5425,1265,"ASOS"
"KBYS","BICYCLE LAKE",-116.6167,35.2833,716,"ASOS"
"KBYY","BAY CITY MUN",-95.8633,28.9733,14,"ASOS"
"KBZN","BOZEMAN/GALL",-111.1608,45.7881,1364,"ASOS"
"KC09","MORRIS",-88.4186,41.4253,178,"ASOS"
"KC29","MIDDLETON MU",-89.5317,43.1142,283,"ASOS"
"KC75","LACON/MARSHA",-89.3864,41.0192,173,"ASOS"
"KCAD","CADILLAC/WEX",-85.4200,44.2800,398,"ASOS"
"KCAE","COLUMBIA MET",-81.1181,33.9419,71,"ASOS"
"KCAG","CRAIG-MOFFAT",-107.5236,40.4933,1888,"ASOS"
"KCAK","AKRON-CANTON",-81.4425,40.9181,374,"ASOS"
"KCAO","CLAYTON MUNI",-103.1531,36.4483,1513,"ASOS"
"KCAR","CARIBOU MUNI",-68.0133,46.8672,191,"ASOS"
"KCBE","GREATER CUMB",-78.7608,39.6156,236,"ASOS"
"KCBG","CAMBRIDGE MU",-93.2700,45.5700,287,"ASOS"
"KCBM","COLUMBUS AFB",-88.4500,33.6500,67,"ASOS"
"KCCA","CLINTON MUNI",-92.4517,35.5978,157,"ASOS"
"KCCO","NEWNAN COWET",-84.7703,33.3122,296,"ASOS"
"KCCR","CONCORD/BUCH",-122.0519,37.9917,7,"ASOS"
"KCDA","CALEDONIA CO",-72.0181,44.5692,362,"ASOS"
"KCDC","CEDAR CITY M",-113.0967,37.7067,1715,"ASOS"
"KCDD","CRANE LAKE (",-92.4836,48.2664,341,"ASOS"
"KCDH","CAMDEN / HAR",-92.7667,33.6167,40,"ASOS"
"KCDJ","CHILLICOTHE/",-93.5800,39.8200,234,"ASOS"
"KCDN","WOODWARD FIE",-80.5650,34.2836,92,"ASOS"
"KCDS","CHILDRESS MU",-100.2833,34.4275,595,"ASOS"
"KCDW","CALDWELL/ESS",-74.2831,40.8764,52,"ASOS"
"KCEC","CRESCENT CIT",-124.2367,41.7803,17,"ASOS"
"KCEF","CHICOPEE/WES",-72.5300,42.2000,75,"ASOS"
"KCEU","CLEMSON/OCON",-82.8814,34.6722,272,"ASOS"
"KCEW","CRESTVIEW/BO",-86.5200,30.7722,65,"ASOS"
"KCEY","KYLE-OAKLEY",-88.3728,36.6647,176,"ASOS"
"KCEZ","CORTEZ/MONTE",-108.6256,37.3064,1803,"ASOS"
"KCFE","BUFFALO MUNI",-93.8433,45.1592,295,"ASOS"
"KCFS","TUSCOLA AREA",-83.4456,43.4589,214,"ASOS"
"KCFV","COFFEYVILLE",-95.5664,37.0911,229,"ASOS"
"KCGC","CRYSTAL RIVE",-82.5714,28.8672,3,"ASOS"
"KCGE","CAMBRIDGE-DO",-76.0303,38.5394,6,"ASOS"
"KCGI","CAPE GIRARDE",-89.5783,37.2256,104,"ASOS"
"KCGS","CLOOEGE PARK",-76.9222,38.9806,15,"ASOS"
"KCGZ","CASA GRANDA",-111.7700,32.9500,446,"ASOS"
"KCHA","CHATTANOOGA/",-85.2000,35.0333,207,"ASOS"
"KCHK","CHICKASHA MU",-97.9661,35.0961,351,"ASOS"
"KCHO","CHARLOTTESVI",-78.4558,38.1383,195,"ASOS"
"KCHS","CHARLESTOWN",-80.0406,32.8989,14,"ASOS"
"KCID","CEDAR RAPIDS",-91.7239,41.8828,263,"ASOS"
"KCIR","CAIRO REGION",-89.2197,37.0644,98,"ASOS"
"KCJR","CULPEPER",-77.8589,38.5267,95,"ASOS"
"KCKB","CLARKSBURG/B",-80.2247,39.3000,366,"ASOS"
"KCKC","GRAND MARAIS",-90.3831,47.8383,548,"ASOS"
"KCKI","WILLIAMSBURG",-79.8569,33.7172,20,"ASOS"
"KCKN","CROOKSTON MU",-96.6200,47.8500,273,"ASOS"
"KCKV","CLARKSVILLE/",-87.4150,36.6219,168,"ASOS"
"KCLE","CLEVELAND/HO",-81.8528,41.4050,241,"ASOS"
"KCLI","CLINTONVILLE",-88.7314,44.6139,251,"ASOS"
"KCLK","CLINTON REGI",-98.9328,35.5383,492,"ASOS"
"KCLL","COLLEGE STAT",-96.3617,30.5822,97,"ASOS"
"KCLM","PORT ANGELES",-123.5053,48.1222,87,"ASOS"
"KCLS","CHEHALIS-CEN",-122.9828,46.6769,54,"ASOS"
"KCLT","CHARLOTTE/DO",-80.9486,35.2133,228,"ASOS"
"KCMA","CAMARILLO (A",-119.0800,34.2200,23,"ASOS"
"KCMH","PORT COLUMBU",-82.8764,39.9950,248,"ASOS"
"KCMI","CHAMPAIGN/UR",-88.2733,40.0322,229,"ASOS"
"KCMR","H.A. CLARK M",-112.1947,35.3056,2036,"ASOS"
"KCMX","HOUGHTON CO.",-88.4889,47.1683,334,"ASOS"
"KCMY","MCCOY (USA-A",-90.7378,43.9583,255,"ASOS"
"KCNB","MEYERS FIELD",-96.2625,44.7281,363,"ASOS"
"KCNK","CONCORDIA(AW",-97.6506,39.5514,453,"ASOS"
"KCNM","CARLSBAD/CAV",-104.2633,32.3375,1004,"ASOS"
"KCNO","CHINO AIRPOR",-117.6236,33.9756,198,"ASOS"
"KCNU","CHANUTE/MART",-95.4842,37.6703,305,"ASOS"
"KCNY","MOAB/CANYONL",-109.7447,38.7600,1388,"ASOS"
"KCOD","CODY MUNI (A",-109.0200,44.5200,1553,"ASOS"
"KCOE","COEUR D'ALEN",-116.8200,47.7700,707,"ASOS"
"KCOF","PATRICK AFB/",-80.6000,28.2300,3,"ASOS"
"KCOM","COLEMAN MUNI",-99.4036,31.8411,517,"ASOS"
"KCON","CONCORD MUNI",-71.5011,43.1953,105,"ASOS"
